CR-C1-02-01,10.8.0.1
CR-C1-02-02-SERVERSFARM,10.2.0.2
AC-C1-77-11,172.77.0.11
DT-C1-02-03,10.2.0.3
AC-C1-12-11,10.2.12.11
AC-C1-12-12,10.2.12.12
AC-C1-BIB-21-39,172.21.0.39
AC-C1-21-19,172.21.0.19
AC-C1-21-47,172.21.0.47
AC-C1-CENAPAD-21-45,172.21.0.45
AC-C1-08-11,10.2.8.11
AC-C1-08-21,10.2.8.21
AC-C1-08-31-TELEPRESENÇA,10.2.8.31
AC-C2-16-12,10.2.16.12
AC-C1-36-11,172.36.0.11
AC-C1-36-12,172.36.0.12
AC-C1-36-13,172.36.0.13
AC-C1-36-14,no connect
AC-C1-21-20,172.21.0.20
AC-C1-21-40,172.21.0.40
DT-C1-24-02,172.24.0.2
AC-C1-24-91,172.24.0.91
AC-C1-24-51,172.24.0.51
AC-C1-24-61,172.24.0.61
AC-C1-24-101,172.24.0.101
AC-C1-24-102,172.24.0.102
AC-C1-24-103,172.24.0.103
AC-C1-24-31,172.24.0.31
AC-C1-24-41,172.24.0.41
AC-C1-24-11,172.24.0.11
AC-C1-24-21,172.24.0.21
AC-C1-24-71,172.24.0.71
AC-C1-24-81,172.24.0.81
DT-C1-27-02,172.27.0.2
AC-C1-27-15,
AC-C1-27-25,172.27.0.25
AC-C1-27-37,172.27.0.37
AC-C1-27-11,172.27.0.11
AC-C1-27-50,172.27.0.50
AC-C1-27-49,172.27.0.49
SW-C1-27-12,172.270.12.
AC-C1-27-16,172.27.0.16
AC-C1-27-14,172.27.0.14
AC-C1-27-18,172.27.0.18
AC-C1-27-20,no conect
AC-C1-27-58,no conect
AC-C1-27-23,172.27.0.23
AC-C1-27-21,172.27.0.21
AC-C1-27-19,172.27.0.19
AC-C1-27-47,172.27.0.47
AC-C1-27-17,172.27.0.17
AC-C1-27-27,172.27.0.27
AC-C1-27-29,172.27.0.29
AC-C1-27-13,172.27.0.29
DT-C1-30-02,172.30.0.2
AC-C1-30-11,172.30.0.11
AC-C1-30-21,172.30.0.21
AC-C1-30-31,172.30.0.31
AC-C1-30-41,172.30.0.41
AC-C1-30-51,172.30.0.51
DT-C2-26-02,172.26.0.2
AC-C2-26-11,172.26.0.2
AC-C2-26-20,172.26.0.20
AC-C2-26-14,172.26.0.14
AC-C2-26-24,172.26.0.24
AC-C2-26-33,172.26.0.33
AC-C2-26-41,172.26.0.41
AC-C2-26-21,172.26.0.21
AC-C2-26-16,172.26.0.16
AC-C2-26-17,172.26.0.17
AC-C2-26-55,172.26.0.55
AC-C2-26-65,172.26.0.65
DT-C3-28-02-V8,172.28.0.2
AC-C3-28-21,172.28.0.21
AC-C3-28-24,172.28.0.24
AC-C3-28-16,172.28.0.16
AC-C3-28-37,172.28.0.37
AC-C3-28-23,172.28.0.23
AC-C3-28-17,172.28.0.17
AC-C3-28-11,172.28.0.11
AC-C3-28-12,172.28.0.12
AC-C3-28-13,172.28.0.13
AC-C3-28-14,172.28.0.14
AC-C3-28-15,172.28.0.15
AC-C3-28-38,172.28.0.38
AC-C3-28-27,172.28.0.27
AC-C3-28-36,172.28.0.36
AC-C3-28-20,172.28.0.20
AC-C3-28-33,172.28.0.33
AC-C3-28-34,172.28.0.34
AC-C3-28-35,172.28.0.35
AC-C3-28-26,172.28.0.26
AC-C3-28-25,172.28.0.25
AC-C3-28-28,172.28.0.28
AC-C3-28-18,172.28.0.18
AC-C3-28-29,172.28.0.29
AC-C3-28-31,172.28.0.31
AC-C3-28-30,172.28.0.30
AC-C3-28-22,172.28.0.22
AC-C3-28-32,172.28.0.32
AC-C3-28-19,172.28.0.19
SW-C1-23-11,172.23.0.11
AC-C1-23-15,172.23.0.15
AC-C1-23-42,172.23.0.42
AC-C1-23-12,172.23.0.12
AC-C1-23-17,172.23.0.17
AC-C1-23-16,172.23.0.16
SW-C1-22-11,172.22.0.11
DT-C1-22-12,172.22.0.12
AC-C1-22-35,172.22.0.35
AC-C1-22-20,172.22.0.20
AC-C1-22-14,172.22.0.14
AC-C1-22-18,172.22.0.18
AC-C1-22-28,172.22.0.28
AC-C1-22-19,172.22.0.19
AC-C1-22-26,172.22.0.26
AC-C1-22-33,172.22.0.33
AC-C1-22-34,172.22.0.34
AC-C1-22-13,172.22.0.13
AC-C1-22-17,172.22.0.17
AC-C1-22-27,172.22.0.27
AC-C1-21-22,172.21.0.22
AC-C1-22-16,172.22.0.16
SW-C2-25-11,172.25.0.11
AC-C2-25-40,172.25.0.40
AC-C2-25-29,172.25.0.29
AC-C2-25-30,172.25.0.30
AC-C2-25-31,172.25.0.31
AC-C2-25-32,172.25.0.32
AC-C2-25-12,172.25.0.12
AC-C2-25-14,172.25.0.14
AC-C2-25-13,172.25.0.13
